,ID,Price,Name,Mark,Model,Size,Volume,Main camera,Front camera,RAM
250,f6573333,469 340,Apple iPhone 11 Pro Max 256Gb,Apple, iPhone 11 Pro Max,"экран 6.5""",256Гб,12Mpix,12Mpix,4 Гб
251,f5900075,95 000,Apple iPhone 7 32Gb,Apple, iPhone 7,"экран 4.7""",32Гб,12Mpix,7Mpix,2 Гб
252,f6890866,59 990,Samsung Galaxy A21s 3/32Gb Black,Samsung, Galaxy A21s,"экран 6.5""",32Гб,48Mpix,13Mpix,3 Гб
253,f5961734,297 390,Apple iPhone Xr 128Gb (1 SIM) White,Apple, iPhone Xr,"экран 6.1""",128Гб,12Mpix,7Mpix,3 Гб
254,f5961742,297 390,Apple iPhone Xr 128Gb (1 SIM) Black,Apple, iPhone Xr,"экран 6.1""",128Гб,12Mpix,7Mpix,3 Гб
255,f5006678,219 810,Apple iPhone 8 256Gb Gold,Apple, iPhone 8,"экран 4.7""",256Гб,12Mpix,7Mpix,2 Гб
256,f5918506,264 600,Apple iPhone Xr 128Gb (1 SIM) Black,Apple, iPhone Xr,"экран 6.1""",128Гб,12Mpix,7Mpix,3 Гб
257,f7103432,32 490,Nokia 3 White,Nokia, 3 White,Not Found,16Гб,Not Found,8Mpix,Not Found
258,f6615724,469 900,Apple iPhone 11 Pro Max 256Gb Space Gray,Apple, iPhone 11 Pro Max,"экран 6.5""",256Гб,12Mpix,12Mpix,6 Гб
259,f5964351,271 000,Apple iPhone Xr 128Gb (1 SIM) Black,Apple, iPhone Xr,"экран 6.1""",128Гб,12Mpix,7Mpix,3 Гб
260,f7031758,285 890,Apple iPhone 7 Plus 32Gb Silver,Apple, iPhone 7 Plus,"экран 5.5""",32Гб,12Mpix,7Mpix,3 Гб
261,f6976908,3 590,TeXet TM-130 Black,TeXet, TM-130 Black,"экран 1.77""",Not Found,Not Found,Not Found,Not Found
262,f7072317,3 590,TeXet TM-124 Black-Red,TeXet, TM-124 Black-Red,"экран 1.77""",32Гб,Not Found,Not Found,Not Found
263,f6563609,399 790,Apple iPhone 11 Pro 64Gb Gold,Apple, iPhone 11 Pro,"экран 5.8""",64Гб,12Mpix,12Mpix,6 Гб
264,f7070467,108 990,Xiaomi Poco X3 NFC 6/128Gb Shadow Gray,Xiaomi, Poco X3 NFC,"экран 6.67""",128Гб,64Mpix,20Mpix,6 Гб
265,f7103473,379 130,Apple iPhone 12 64Gb Green,Apple, iPhone 12,"экран 6.1""",64Гб,12Mpix,12Mpix,6 Гб
266,f7053931,101 498,Xiaomi Redmi Note 9 Pro 6/128Gb Interstellar Gray,Xiaomi, Redmi Note 9 Pro,"экран 6.67""",128Гб,48Mpix,16Mpix,6 Гб
267,f6903114,186 200,Apple iPhone SE (2020) 128Gb Black,Apple, iPhone SE (2020),"экран 4.7""",128Гб,12Mpix,7Mpix,3 Гб
268,f7110880,90 900,Xiaomi Redmi Note 9S 6/128Gb,Xiaomi, Redmi Note 9S,Not Found,128Гб,Not Found,Not Found,6 Гб
269,f7138569,660 000,Apple iPhone 12 Pro 512Gb Gold,Apple, iPhone 12 Pro,"экран 6.1""",512Гб,12Mpix,12Mpix,6 Гб
270,f7014555,125 000,Samsung Galaxy A71 6/128Gb Crush Black,Samsung, Galaxy A71,"экран 6.7""",128Гб,64Mpix,32Mpix,6 Гб
