,ID,Name,Price,Proccessor,Size,CPU Frequency,Volume
287,f6153517,Ноутбук Apple MacBook Pro 15 with Touch Bar Mid 2018 Space Gray MR932 MR932 Space Gray,1 253 113,Core i7,"15""",2200 MHz,256
288,f6607499,Игровой ноутбук Lenovo IdeaPad L340 15 Gaming 81LK00C9RK,307 894,Core i5,"15.6""",2400 MHz,1128
289,f6399703,Мобильная рабочая станция HP ZBook 14u G5 5UC41EA,841 243,Core i7,"14""",1800 MHz,1000
290,f7032102,Ноутбук DELL G3 15 3579 210-AOVS_31,451 200,Core i5,"15.6""",2300 MHz,256
291,f7110296,Игровой ноутбук Lenovo IdeaPad Gaming 3 15IMH05 81Y400P3RK,462 000,Core i7,"15.6""",2600 MHz,512
292,f7075894,Ноутбук Apple MacBook Pro 16 2019 Space Gray MVVJ2 Space Gray,939 000,Core i7,"16""",2600 MHz,512
293,f6984692,Ноутбук DELL XPS 13 7390 210-ASUT-A2,700 200,Core i7,"13.3""",1100 MHz,512
294,f7080016,Ультрабук Lenovo THINKPAD X1 Carbon Ultrabook (7th Gen) 20QD0034RT,877 373,Core i7,"14""",1800 MHz,256
295,f6997450,Игровой ноутбук HP Pavilion Gaming 15-ec1026ur 16D73EA,454 900,AMD Ryzen 7,"15.6""",2900 MHz,1256
296,f7009029,"Ноутбук HP ENVY x360 15-ed0006ur, Core i5-10210U-1.6GHz/15.6""FHD/512GbSSD/8Gb/GF",582 890,Not Found,"15.6""",Not Found,Not Found
297,f7103543,Игровой ноутбук ASUS VivoBook Max X541UV черный,190 000,Core i5,Not Found,2500 MHz,1000
298,f7101001,Игровой ноутбук Acer Nitro 5 AN515-43 NH.Q6ZER.00C,319 900,AMD Ryzen 5,"15.6""",2100 MHz,512
299,f7080726,Ноутбук ASUS ROG Zephyrus GX701LWS,1 279 900,Not Found,"17.3""",Not Found,Not Found
300,f4563549,Игровой ноутбук DELL ALIENWARE 17,1 254 398,Core i7,"17.3""",2800 MHz,1128
