,ID,Price,Name,Mark,Model,Size,Volume,Main camera
127,f3084462,52 235,Samsung Galaxy Tab 3 7.0 SM-T2100 8Gb белый,Samsung, Galaxy Tab 3 7.0 SM-T2100,"экран 7""",встроенная память 8,камера 3Mpix
128,f6714598,77 000,Samsung Galaxy Tab A 10.1 SM-T515 32Gb Black,Samsung, Galaxy Tab A 10.1 SM-T515,"экран 10.1""",встроенная память 32,камера 8Mpix
129,f7053933,141 900,Samsung Galaxy Tab S6 Lite 10.4 SM-P615 LTE 64Gb Blue,Samsung, Galaxy Tab S6 Lite 10.4 SM-P615 LTE,"экран 10.4""",встроенная память 64,камера 8Mpix
130,f7138460,214 430,Apple iPad 8th gen 10.2 (2020) 128Gb Wi-Fi Gold,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 128,камера 8Mpix
131,f7138458,214 430,Apple iPad 8th gen 10.2 (2020) 128Gb Wi-Fi Space Gray,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 128,камера 8Mpix
132,f6875615,335 500,Apple iPad Pro 11 (2018) 64Gb Wi-Fi Space Gray,Apple, iPad Pro 11 (2018),"экран 11""",встроенная память 64,камера 12Mpix
133,f6783580,317 600,Apple iPad Pro 11 (2018) 64Gb Wi-Fi Space Gray,Apple, iPad Pro 11 (2018),"экран 11""",встроенная память 64,камера 12Mpix
134,f6474667,426 300,Apple iPad Pro 12.9 (2018) 256Gb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 12.9 (2018),"экран 12.9""",встроенная память 256,камера 12Mpix
135,f6656236,29 052,BQ BQ-7098G Armor Power Cammo Winter,BQ, BQ-7098G Armor Power Cammo Winter,"экран 7""",встроенная память 8,камера 2Mpix
136,f6842919,214 990,Apple iPad Air 10.5 (2019) 64Gb Wi-Fi Space Gray,Apple, iPad Air 10.5 (2019),"экран 10.5""",встроенная память 64,камера 8Mpix
137,f7012397,780 900,Apple iPad Pro 12.9 (2020) 512Gb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 12.9 (2020),"экран 12.9""",встроенная память 512,камера 12Mpix
138,f7014844,324 405,Samsung Galaxy Tab S6 10.5 SM-T865 LTE 128Gb Grey,Samsung, Galaxy Tab S6 10.5 SM-T865 LTE,"экран 10.5""",встроенная память 128,камера 13Mpix
139,f6814151,158 887,Apple iPad 6th gen (2018) 32Gb Wi-Fi Silver,Apple, iPad 6th gen (2018),"экран 9.7""",встроенная память 32,камера 8Mpix
140,f6399628,40 888,Lenovo Tab 4 TB-7104i 8Gb,Lenovo, Tab 4 TB-7104i,"экран 7""",встроенная память 8,камера 2Mpix
141,f6785971,855 000,Microsoft Surface Pro 7 i7 16Gb 512Gb Platinum,Microsoft, Surface Pro 7 i7,"экран 12.3""",встроенная память 512,камера 8Mpix
142,f7099556,23 997,BQ BQ-7038G Light Plus Red,BQ, BQ-7038G Light Plus Red,"экран 7""",встроенная память 16,камера 2Mpix
143,f6612744,62 405,Prestigio MultiPad Grace 5771 4G Black,Prestigio, MultiPad Grace 5771 4G Black,"экран 10.1""",встроенная память 16,камера 5Mpix
144,f6818169,194 000,Apple iPad 10.2 (2019) 32Gb Wi-Fi Space Gray,Apple, iPad 10.2 (2019),"экран 10.2""",встроенная память 32,камера 8Mpix
145,f6302081,286 500,Apple iPad Air 10.5 (2019) 64Gb Wi-Fi Space Gray,Apple, iPad Air 10.5 (2019),"экран 10.5""",встроенная память 64,камера 8Mpix
146,f7100624,25 964,Prestigio Smartkids 3197 Pink,Prestigio, Smartkids 3197 Pink,"экран 7""",встроенная память 16,камера 2Mpix
147,f7074688,34 560,BQ BQ-8068L Hornet Plus Pro Black,BQ, BQ-8068L Hornet Plus Pro Black,"экран 8.1""",встроенная память 16,камера 5Mpix
148,f7074696,36 180,BQ BQ-1083G Armor Pro Plus Print9,BQ, BQ-1083G Armor Pro Plus Print9,"экран 10.1""",встроенная память 8,камера 2Mpix
149,f6811219,50 819,Электронный блокнот Wacom Bamboo Spark c креплением для iPad,Электронный, блокнот Wacom Bamboo Spark c креплением для iPad,Not Found,Not Found,Not Found
150,f6930424,34 999,Samsung Galaxy Tab A 7.0 SM-T285 8Gb,Samsung, Galaxy Tab A 7.0 SM-T285,"экран 7""",встроенная память 8,камера 5Mpix
151,f7109514,33 600,Планшет BQ-8068L Hornet Plus Pro black LTE TST24425,Планшет, BQ-8068L Hornet Plus Pro black LTE TST24425,Not Found,Not Found,Not Found
152,f7109516,29 400,Планшет BQ-1081G 3G white белый TST23377,Планшет, BQ-1081G 3G white белый TST23377,Not Found,Not Found,Not Found
153,f7111249,24 045,BQ BQ-7038G Light Plus Blue,BQ, BQ-7038G Light Plus Blue,"экран 7""",встроенная память 16,камера 2Mpix
154,f7103759,27 196,Prestigio Smartkids 3197 Pink,Prestigio, Smartkids 3197 Pink,"экран 7""",встроенная память 16,камера 2Mpix
155,f6875616,374 000,Apple iPad Pro 11 (2018) 64Gb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 11 (2018),"экран 11""",встроенная память 64,камера 12Mpix
156,f6671648,118 000,Xiaomi Mi Pad 4 Plus 64Gb LTE Gold,Xiaomi, Mi Pad 4 Plus,"экран 10.1""",встроенная память 64,камера 13Mpix
157,f7077578,37 190,BQ BQ-1083G Armor Pro Plus Print11,BQ, BQ-1083G Armor Pro Plus Print11,"экран 10.1""",встроенная память 16,камера 2Mpix
158,f7077579,37 190,BQ BQ-1083G Armor Pro Plus Print9,BQ, BQ-1083G Armor Pro Plus Print9,"экран 10.1""",встроенная память 16,камера 2Mpix
159,f7063654,30 800,Планшет BQ-1081G 3G Black,Планшет, BQ-1081G 3G Black,Not Found,Not Found,Not Found
160,f7076110,162 890,Apple iPad 10.2 (2019) 32Gb Wi-Fi Gold,Apple, iPad 10.2 (2019),"экран 10.2""",встроенная память 32,камера 8Mpix
161,f7076113,162 720,Apple iPad 10.2 (2019) 32Gb Wi-Fi Silver,Apple, iPad 10.2 (2019),"экран 10.2""",встроенная память 32,камера 8Mpix
162,f6996826,217 780,Apple iPad 10.2 (2019) 128Gb Wi-Fi Gold,Apple, iPad 10.2 (2019),"экран 10.2""",встроенная память 128,камера 8Mpix
163,f6796586,22 060,Prestigio MultiPad Wize 4117 3G Black,Prestigio, MultiPad Wize 4117 3G Black,"экран 7""",встроенная память 8,камера 2Mpix
