Name;Price;Mark;Model;prod_type;Size;OS;RAM;Volume;main_camera;front_camera;videoshoot_format;videoshoot_resolution
Смартфон OPPO A72 4/128Gb Twilight Black;119 990;Oppo;A72;смартфон;"6.5""";Android 10;4 Гб;128 Гб;48+8+2+2;16;Ultra HD 4K;3840x2160
Смартфон OPPO A52 4/64Gb Stream White;89 990;Oppo;A52;смартфон;"6.5""";Android 10;4 Гб;64 Гб;12 + 8 + 2 + 2;8;Ultra HD 4K;3840x2160
Смартфон OPPO A52 4/64Gb Twilight Black;89 990;Oppo;A52;смартфон;"6.5""";Android 10;4 Гб;64 Гб;12 + 8 + 2 + 2;8;Ultra HD 4K;3840x2160
Смартфон Samsung Galaxy S20 Ultra 128GB, White;524 890;Samsung;Galaxy S20 Ultra;смартфон;"6.9""";Android 10;12 Гб;128 Гб;108+48+12;40;4K;
Смартфон iPhone SE 2020 128Gb, White;269 890;Apple;SE 2020;смартфон;"4.7""";iOS;3 Гб;128 Гб;12 Мп;7 Мп;HD;
Смартфон iPhone SE 2020 128Gb, Black;269 890;Apple;SE 2020;смартфон;"4.7""";iOS;3 Гб;128 Гб;12 Мп;7 Мп;HD;
Смартфон iPhone SE 2020 64Gb, White;239 890;Apple;SE 2020;смартфон;"4.7""";iOS;3 Гб;64 Гб;12 Мп;7 Мп;HD;
Смартфон iPhone SE 2020 64Gb, Red;239 890;Apple;SE 2020;смартфон;"4.7""";iOS;3 Гб;64 Гб;12 Мп;7 Мп;HD;
Смартфон iPhone SE 2020 64Gb, Black;239 890;Apple;SE 2020;смартфон;"4.7""";iOS;3 Гб;64 Гб;12 Мп;7 Мп;HD;
Смартфон Realme C3 (2+32Gb), Red;49 890;RealMe;C3;смартфон;"6.5""";Android 10;2 Гб;32 Гб;12,0 Мп + 2,0 Мп + 2,0 Мп;5,0 Мп;Full HD;1920x1080
Смартфон Realme C3 (2+32Gb), Blue;49 890;RealMe;C3;смартфон;"6.5""";Android 10;2 Гб;32 Гб;12,0 Мп + 2,0 Мп + 2,0 Мп;5 Мп;Full HD;1920x1080
