,ID,Price,Name,Mark,Model,Size,Type,WiFi
120,f7148579,93 990,Телевизор Rebus LED REB-LE43D2 Black TBT0000431,Телевизор, Rebus LED REB-LE43D2 Black TBT0000431,,Not Found,Not Found
121,f7147017,57 990,Телевизор Rebus REB LED 32D9200A Black TBT0000426,Телевизор, Rebus REB LED 32D9200A Black TBT0000426,,Not Found,Not Found
122,f7068877,84 957,"Skyworth 40E20 40""",Skyworth, 40E20,"40""",ЖК-LED,Yes
123,f6840442,209 570,"Samsung UE43TU8500UXCE 43""",Samsung, UE43TU8500UXCE,"43""",Smart TV,Yes
124,f6873119,199 590,"Samsung UE43TU8000UXCE 43""",Samsung, UE43TU8000UXCE,"43""",Smart TV,Yes
125,f6986093,122 429,Samsung Телевизор SAMSUNG UE32T4500AUXCE Smart HD ISAR1304910,Samsung, Телевизор SAMSUNG UE32T4500AUXCE Smart HD ISAR1304910,,Not Found,Not Found
126,f6986084,145 721,"Samsung UE43T5300AUXCE 43""",Samsung, UE43T5300AUXCE,"43""",Smart TV,Yes
127,f7136983,230 377,"LG 50UN74006LA 50""",LG, 50UN74006LA,"50""",ЖК,Yes
128,f6879533,161 558,"Xiaomi Mi TV 4S (L43M5-5ARU) 42.5""",Xiaomi, Mi TV 4S (L43M5-5ARU),"42.5""",Smart TV,Yes
129,f6814688,294 307,"Samsung UE55RU7200UXCE 55""",Samsung, UE55RU7200UXCE,"55""",Smart TV,Yes
130,f7113598,84 800,"Skyworth 40E20 40""",Skyworth, 40E20,"40""",ЖК-LED,Yes
131,f7113597,94 000,"Skyworth 40E20S 40""",Skyworth, 40E20S,"40""",Smart TV,Yes
132,f6685484,258 490,"Sony KD-43XG7005 42.5""",Sony, KD-43XG7005,"42.5""",Smart TV,Yes
133,f6893370,313 685,"Samsung UE55TU8500U 55""",Samsung, UE55TU8500U,"55""",Smart TV,Yes
134,f7042612,215 260,"Xiaomi Mi TV 4S 55 55""",Xiaomi, Mi TV 4S 55,"55""",Smart TV,Yes
135,f7042616,79 506,"Xiaomi Mi TV 4A 32 32""",Xiaomi, Mi TV 4A 32,"32""",ЖК-LED,Yes
136,f6814304,194 464,"Sony KDL-50WF665 49.5""",Sony, KDL-50WF665,"49.5""",ЖК-LED,Yes
137,f6222135,392 542,"Sony KD-49XF7596 48.5""",Sony, KD-49XF7596,"48.5""",Smart TV,Yes
138,f6222127,939 887,"Sony KD65XF8596BR2 64.5""",Sony, KD65XF8596BR2,"64.5""",Smart TV,Yes
139,f6222121,535 327,"Sony KD55XF8096BR2 54.6""",Sony, KD55XF8096BR2,"54.6""",Smart TV,Yes
140,f6222066,202 161,"LG 43UK6300PLB 43""",LG, 43UK6300PLB,"43""",Smart TV,Yes
141,f6222076,118 869,"Artel 43LED9000A 43""",Artel, 43LED9000A,"43""",ЖК-LED,Yes
142,f6222091,184 204,"LG 43UK6200 43""",LG, 43UK6200,"43""",Smart TV,Yes
143,f6221726,955 828,"LG 65SJ930V 65""",LG, 65SJ930V,"65""",Smart TV,Yes
144,f6909929,257 175,"Samsung UE50TU8000UXCE 50""",Samsung, UE50TU8000UXCE,"50""",Smart TV,Yes
145,f7009558,301 290,"Samsung UE55TU8000UXCE 55""",Samsung, UE55TU8000UXCE,"55""",Smart TV,Yes
146,f7075836,750 128,"TCL 75P717 75""",TCL, 75P717,"75""",ЖК-LED,Yes
147,f7010377,442 963,Sony KD43XH8005BR,Sony, KD43XH8005BR,,Not Found,Not Found
148,f6844884,670 378,"Samsung UE75TU7500 75""",Samsung, UE75TU7500,"75""",ЖК-LED,Yes
149,f7147044,147 490,Телевизор Xiaomi MI LED 4S 43 Global Gray TBT0000185,Телевизор, Xiaomi MI LED 4S 43 Global Gray TBT0000185,,Not Found,Not Found
150,f6110626,120 289,"Samsung UE32N5000AUX 32""",Samsung, UE32N5000AUX,"32""",ЖК-LED,Yes
151,f6109816,450 454,"LG 65UU661H 65""",LG, 65UU661H,"65""",ЖК-LED,Yes
152,f7149366,317 651,"Sony KD49XG7096BR 49""",Sony, KD49XG7096BR,"49""",ЖК-LED,Yes
153,f7149299,420 001,"Samsung UE65TU7100UXCE 65""",Samsung, UE65TU7100UXCE,"65""",ЖК-LED,Yes
154,f7149152,35 967,"Blackton 2201B 22""",Blackton, 2201B,"22""",ЖК-LED,Yes
155,f7149079,142 303,"Sony KDL32WD603BR 32""",Sony, KDL32WD603BR,"32""",ЖК-LED,Yes
156,f7009557,244 990,"Samsung UE50TU8500UXCE 50""",Samsung, UE50TU8500UXCE,"50""",Smart TV,Yes
157,f7009548,227 390,"Samsung UE50TU8000UXCE 50""",Samsung, UE50TU8000UXCE,"50""",Smart TV,Yes
158,f6497876,113 819,"LG 32LT340C 32""",LG, 32LT340C,"32""",ЖК-LED,Yes
159,f6075560,113 416,Samsung UE32N4000AUX,Samsung, UE32N4000AUX,,Not Found,Not Found
160,f6823808,113 737,"Samsung UE28N4500AU 28""",Samsung, UE28N4500AU,"28""",ЖК-LED,Yes
161,f6014332,117 178,"Samsung UE32N4000AU 31.5""",Samsung, UE32N4000AU,"31.5""",ЖК,Yes
162,f6005583,150 500,"Changhong U50G5Si 50""",Changhong, U50G5Si,"50""",Smart TV,Yes
